Data,Proba_Low_Manual,Proba_Medium_Manual,Proba_High_Manual,Proba_Low_Model,Proba_Medium_Model,Proba_High_Model,Selisih_Low,Selisih_Medium,Selisih_High,Prediksi_Kelas,Label_Aktual,Status
Data 1,0.18043155171289119,0.7341765613020825,0.08539188698502635,0.18043155171290012,0.7341765613020838,0.08539188698501594,-8.93729534823251e-15,-1.2212453270876722e-15,1.0408340855860843e-14,Medium,Medium,Benar
Data 2,0.40426965887849503,0.592860192790596,0.0028701483309089663,0.4042696588784719,0.5928601927906191,0.002870148330909271,2.3148150063434514e-14,-2.3092638912203256e-14,-3.0444397003392965e-16,Medium,Medium,Benar
