Data,RawMargin_Low,RawMargin_Medium,RawMargin_High,Proba_Low_Manual,Proba_Medium_Manual,Proba_High_Manual,Proba_Low_Model,Proba_Medium_Model,Proba_High_Model,Selisih_Low,Selisih_Medium,Selisih_High,Prediksi_Kelas,Label_Aktual,Status
Data 1,-2.050543,0.8902662,-0.7231104,0.04218962788581848,0.7986985445022583,0.15911179780960083,0.042189628,0.79869854,0.15911178,0.0,0.0,1.4901161193847656e-08,Medium,Medium,Benar
Data 2,-0.26065102,0.6496318,-4.3063197,0.2855084240436554,0.7094957232475281,0.004995826631784439,0.28550845,0.7094957,0.004995826,-2.9802322387695312e-08,0.0,4.656612873077393e-10,Medium,Medium,Benar
